aba,mat
abadzivɔ,bedsheet
abadzivɔwo,bedsheets
abaɖonuwo,bedding
abati,bed
abatiwo,beds
ŋdi,morning
 ŋdɔ,noon
 Ɣetrɔ,afternoon
Fiẽ ,evening
 Zã,night
Dadavi ,young lady
Dagã ,elder sister
Dada,elder sister
Dada ,mother
 Fofovi ,young man
Fofo,elder brother
Fofo, father
Aƒetɔ ,Mister
Aƒenɔ, Madam
Aƒenɔvi, Miss
Tɔgbui ,grandfather
Tɔgbui ,old man
Tɔgbui ,chief of a village
Mama ,grandmother
aƒemetɔwo,house's member
aƒeme,house
nyuie,well
nyuie,fine
Dzoɖa ,Monday
Blaɖa,Tuesday
Kuɖa,Wednesday
Yawoɖa ,Thursday
Fiɖa ,Friday
Memleɖa,Saturday
Kɔsiɖa ,Sunday
ŋkɔ ,name
lɔ̃lɔ̃nudɔwɔla ,Volunteer
Fika ,where
AFika ,where
Sukuvi,pupil
Sukuvi,Student
Agbledela ,farmer
Nufiala,teacher
tsitsa,teacher
Asitsala,trader
nudzrala ,seller
Đɔkita,nurse
Đɔkita,doctor
Dreva,driver
Kapiŋta ,carpenter
Klake,clerk
 Dɔkplavi ,apprentice
Tela,tailor
Dɔdzikpɔla ,director
Dɔdzikpɔla ,manager
Xɔlɔ̃ ,friend
Srɔ̃tɔ,married
Ahiãvi,boy friend
Ahiãvi ,girl friend
Trenɔ ,single
ŋugbetɔsrɔ̃ ,fiancée
Yeye ,new
Xoxo ,old
Du ,town
Du ,country
 Amegbɔnɔvi,maid
Aƒemedɔwɔla,housewife
Togotɔ,Togoles
Amerikatɔ ,American
Benintɔ ,Beninese
 Afrikatɔ ,African
ƒome ,Family
Dzila ,Parent
Tɔ ,Father
Nɔ ,Mother
Vi,Child
Nɔvi,Sibling
 Srɔ̃ ,spouse
Srɔ̃  ŋutsu,Husband
Srɔ̃ nyɔnu,wife
ŋutsu , man
Nyɔnu  ,woman
Ɖevi ,Child
Tɔgbe yɔvi ,Grandson
Tɔgbe yɔvi ,granddaughter
Afɔkpa ,Shoes
Afɔkpa,sandals
Tɔtsi ,flash light
Tɔtsikpé ,battery
Aɖzale,soap
aɖi ,soap
Kuku ,hat
Exa,
xa,broom
Akutsa ,sponge
Tɔka ,bucket
Kpɔnɔ, bread
Súklì ,sugar
Edze, salt
Atádí ,pepper
Timáti ,tomato
Sabala ,onion
Atɔtɔ ,pineapple
Akɔɖú, banana
Aɖibà ,papaya
ŋutí, orange
Péya ,avocado
Avɔ, loin cloth
 Nú ,thing 
Núɖuɖu, Food
Akple ,Dough
Mɔlu, rice
Ete ,Yam
Agbeli ,Cassava
Ayo, Garlic
 Atiŋkali, Black pepper
Atadi ,Hot pepper
Amì ,Oil
lɔ̃ ,accept
afɔku,accident
veve,ache
tso me,accross
wɔ,act
wɔ,behave
nuwɔwɔ,action
yi ŋgɔ,advance
aɖaŋu,advice
megbe,after
emegbe,after
ɣetrɔme,afternoon
ke,again
ƒexɔxɔ,age
yameυu,airplane
blibo,all
katã,all
ɖeka,alone
Xoxo ,already
hã,also
togbɔ be,although
ɣesiayi,always
gasiagame,always
blematɔ,ancestor
eye,and
bubu,another
ŋuɖoɖo,answer
ɖewo,any
nusianu,anything
ɖe,any
dze,appear
abe,approximate
abɔ,arm
foxla,around
abe…ene,as
va,arrive
gbegblẽ ,bad
kotoku,bag
 golo,bag
 akpete ,bag
bɔl ,ball
akɔɖu ,banana
gadzraɖoƒe ,bank
ɖakpala ,barber
kusi ,basket
tsileƒe ,bathroom
tɔtsikpe ,battery
ƒuta ,beach
ƒo,beat
nyakpɔkpɔ ,beautiful
trɔzu ,become
zu ,become
elabena ,because
abati ,bed
xɔdɔme ,bedroom
biya ,beer
dze…gɔme ,begin
megbe,behind
godo ,behind
xɔse,believe
 xɔdzise,believe
bℇlℇti,belt
